number,player,season,time,xG,xA,xGp90,xAp90
28,João Moutinho,2016,1768,0.7762220138683915,2.419774379581213,0.03951356405438645,0.12317856004655496
28,João Moutinho,2017,2801,0.8857632540166378,5.286674663424493,0.028460797165832705,0.1698681612667634
28,João Moutinho,2018,3053,0.5053663458675146,6.528550079092383,0.014897795980372197,0.1924564386237519
28,João Moutinho,2019,3100,0.6877675270661712,6.775043549016117,0.019967444334179164,0.19669481271337114
28,João Moutinho,2020,2546,0.5027754157781601,1.6768401395529509,0.01777289372350134,0.05927557445395348
28,João Moutinho,2021,1580,0.6650569429621099,1.968626020476222,0.03788299042189234,0.11213692521699999
32,Leander Dendoncker,2018,1474,4.165359927341342,1.285157209262252,0.25432998199506157,0.07846957180027318
32,Leander Dendoncker,2019,2793,2.638043900020421,0.7169408379122615,0.08500678517788682,0.023102282639492853
32,Leander Dendoncker,2020,2500,3.381598680280149,0.5813330281525849,0.12173755249008536,0.02092798901349306
32,Leander Dendoncker,2021,684,0.5341744143515825,0.8039266914129257,0.07028610715152402,0.10577982781749022
37,Adama Traoré,2015,167,0.13193736597895622,0.08419380336999893,0.07110396968925785,0.045373906007783855
37,Adama Traoré,2016,1530,0.9504911378026007,1.444280218333006,0.05591124340015298,0.08495765990194153
37,Adama Traoré,2018,879,1.2554869428277016,2.2048870790749793,0.12854815114276807,0.22575635621928114
37,Adama Traoré,2019,2596,3.7073373962193727,7.551031334325671,0.12852864624797516,0.26178459941807025
37,Adama Traoré,2020,2630,2.0761541817337275,5.271671320311724,0.07104710127605911,0.18039939879393735
37,Adama Traoré,2021,1038,2.290028974413872,1.3370982483029366,0.19855742552721434,0.11593337413031242
